"Species","Body_mass_g_scaled","Scavenger","Vertebrates","Insects","Worms","Crustaceans","Molluscs","Fish","Seeds","Fruits","Plants","Nectar","Sap","Foraging_technique","Foraging_stra_terr_aqua","Foraging_stra_betw_1_2","Foraging_stra_above_2m","Foraging_stra_air","Social_Foraging","Diurnal","Crepuscular","Nocturnal","Seasonality","Irruptive","Duration_scaled","Mean_frequency_scaled","Entropy_scaled"
"Accipiter_cooperii","0.418","0","1","0","0","0","0","0","0","0","0","0","0","Air hawker","0","0","1","0","Solitary","1","0","0","WV","0","-0.4","-0.801","0.098"
"Accipiter_striatus","-0.202","0","1","1","0","0","0","0","0","0","0","0","0","Air hawker","0","0","1","0","Solitary","1","0","0","WV","0","1.054","-0.01","-0.192"
"Actitis_macularius","-0.435","0","0","1","1","1","1","1","0","0","0","0","0","Ground gleaner","1","0","0","0","Solitary","1","0","0","WV","0","-0.398","-0.374","-1.133"
"Aechmophorus_occidentalis","1.588","0","0","1","0","0","0","1","0","0","0","0","0","Surface diver","1","0","0","0","Solitary","1","0","0","WV","0","-0.458","0.304","1.086"
"Aeronautes_saxatalis","-0.449","0","0","1","0","0","0","0","0","0","0","0","0","Air screener","0","0","0","1","Aggregation","1","0","0","SR","0","2.877","0.801","1.553"
"Agelaius_phoeniceus","-0.436","0","0","1","0","0","0","0","1","0","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","PR","0","0.148","-0.207","-0.129"
"Aimophila_ruficeps","-0.474","0","0","1","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Pair","1","0","0","PR","0","0.121","1.023","1.197"
"Aix_sponsa","0.603","0","0","1","0","0","0","0","1","0","0","0","0","Dabbler","1","0","0","0","Aggregation","1","0","0","WV","0","-0.374","-0.449","0.863"
"Ammodramus_savannarum","-0.476","0","0","1","0","0","0","0","1","0","0","0","0","Ground gleaner","1","0","0","0","Solitary","1","0","0","T","0","0.405","2.431","0.555"
"Amphispiza_bilineata","-0.482","0","0","1","0","0","0","0","1","0","0","0","0","Ground gleaner","1","0","0","0","Pair","1","0","0","PR","0","0.133","1.348","0.214"
"Anas_acuta","1.043","0","0","1","0","1","1","0","1","0","1","0","0","Dabbler","1","0","0","0","Aggregation","1","0","1","WV","0","-0.274","-0.931","-0.221"
"Mereca_americana","0.75","0","0","0","0","0","0","0","1","0","1","0","0","Dabbler","1","0","0","0","Aggregation","1","0","1","WV","0","-0.378","-1.01","0.18"
"Spatula_clypeata","0.525","0","0","1","0","1","1","0","1","0","1","0","0","Surface dipper","1","0","0","0","Aggregation","1","0","1","WV","0","-0.528","-0.831","0.376"
"Anas_crecca","0.05","0","0","1","0","1","1","0","1","0","1","0","0","Dabbler","1","0","0","0","Aggregation","0","0","1","WV","0","-0.451","-0.802","-0.615"
"Spatula_cyanoptera","0.144","0","0","1","0","1","1","0","1","0","1","0","0","Surface dipper","1","0","0","0","Pair","1","0","1","PR","0","-0.469","-0.572","0.204"
"Spatula_discors","0.088","0","0","1","0","1","1","0","1","0","1","0","0","Surface dipper","1","0","0","0","Aggregation","1","0","1","T","0","-0.521","-0.578","1.051"
"Anas_platyrhynchos","1.406","0","0","1","1","1","1","0","1","0","1","0","0","Dabbler","1","0","0","0","Aggregation","1","0","1","PR","0","-0.452","-0.804","-0.033"
"Mereca_strepera","1.006","0","0","0","0","0","0","0","1","0","1","0","0","Dabbler","1","0","0","0","Aggregation","1","0","1","WV","0","-0.389","-0.575","0.406"
"Anthus_rubescens","-0.47","0","0","1","0","0","0","0","1","1","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","1","WV","0","0.17","1.278","0.518"
"Archilochus_alexandri","-0.499","0","0","1","0","0","0","0","0","0","0","1","0","Hover and gleaner","0","1","0","0","Solitary","1","0","0","SR","0","-0.371","-0.138","-0.517"
"Ardea_alba","0.912","0","0","1","0","1","0","1","0","0","0","0","0","Stalker and striker","1","0","0","0","Solitary","1","0","0","PR","0","-0.203","-1.245","0.194"
"Ardea_herodias","3.178","0","0","1","0","1","0","1","0","0","0","0","0","Stalker and striker","1","0","0","0","Solitary","1","0","1","PR","0","-0.4","-0.976","0.217"
"Artemisiospiza_nevadensis","-0.474","0","0","1","0","0","0","0","1","0","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","WV","0","-0.222","1.276","-2.001"
"Asio_flammeus","0.155","0","1","1","0","0","0","0","0","0","0","0","0","Ground hawker","1","0","0","0","Solitary","0","1","0","T","0","-0.407","-0.663","0.404"
"Asio_otus","0.083","0","1","0","0","0","0","0","0","0","0","0","0","Ground hawker","1","0","0","0","Pair","0","0","1","WV","0","-0.214","-2.034","-4.459"
"Athene_cunicularia","-0.233","0","1","1","0","0","0","0","0","0","0","0","0","Air hawker","1","0","0","0","Solitary","0","1","0","PR","0","-0.448","0.932","1.062"
"Auriparus_flaviceps","-0.494","0","0","1","0","0","0","0","0","1","0","0","0","Foliage gleaner","0","1","0","0","Pair","1","0","0","PR","0","-0.076","-0.005","0.422"
"Aythya_affinis","0.874","0","0","1","0","1","1","0","1","0","1","0","0","Surface diver","1","0","0","0","Aggregation","1","0","1","WV","0","-0.494","-1.28","0.101"
"Aythya_americana","1.301","0","0","1","0","1","1","0","1","0","1","0","0","Surface diver","1","0","0","0","Aggregation","1","0","1","WV","0","-0.398","-1.351","-0.408"
"Aythya_collaris","0.682","0","0","1","0","1","1","0","1","0","1","0","0","Surface diver","1","0","0","0","Aggregation","1","0","0","WV","0","-0.472","-1.434","-0.653"
"Aythya_valisineria","1.509","0","0","1","0","0","1","0","1","0","1","0","0","Surface diver","1","0","0","0","Aggregation","1","0","0","WV","0","-0.419","-1.063","0.271"
"Bartramia_longicauda","-0.219","0","0","1","1","0","0","0","0","0","1","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","T","0","1.276","-0.593","0.95"
"Bombycilla_cedrorum","-0.448","0","0","1","0","0","0","0","0","1","0","0","0","Foliage gleaner","0","0","1","0","Bonded","1","0","0","WV","1","-0.349","1.154","-0.997"
"Branta_canadensis","4.477","0","0","0","0","0","0","0","1","1","1","0","0","Surface dipper","1","0","0","0","Aggregation","1","0","0","WV","0","-0.394","-1.396","-1.013"
"Branta_hutchinsii","2.846","0","0","0","0","0","0","0","1","1","1","0","0","Surface dipper","1","0","0","0","Solitary","1","0","0","WV","0","-0.46","-0.964","-0.292"
"Bubo_virginianus","1.488","0","1","1","0","0","0","0","0","0","0","0","0","Ground hawker","1","0","0","0","Solitary","0","0","1","PR","0","-0.179","-1.902","-2.501"
"Bubulcus_ibis","0.123","0","0","1","0","1","1","0","0","0","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","PR","0","-0.484","0.136","1.348"
"Bucephala_albeola","0.078","0","0","1","0","1","1","1","1","0","1","0","0","Surface diver","1","0","0","0","Aggregation","1","0","1","WV","0","-0.413","-0.437","0.875"
"Buteo_albonotatus","1.041","0","1","0","0","0","0","0","0","0","0","0","0","Ground hawker","1","0","0","0","Solitary","1","0","0","T","0","0.751","-0.157","0.25"
"Buteo_jamaicensis","1.631","0","1","0","0","0","0","0","0","0","0","0","0","Ground hawker","1","0","0","0","Solitary","1","0","0","PR","0","-0.128","-0.161","0.645"
"Buteo_regalis","2.595","0","1","0","0","0","0","0","0","0","0","0","0","Ground hawker","1","0","0","0","Solitary","1","0","0","WV","0","0.141","-0.592","-0.216"
"Buteo_swainsoni","1.431","0","1","1","0","0","0","0","0","0","0","0","0","Ground hawker","1","0","0","0","Solitary","1","0","0","SR","0","-0.399","-0.863","-1.679"
"Buteogallus_anthracinus","1.588","0","1","0","0","0","0","0","0","0","0","0","0","Ground hawker","1","0","0","0","Solitary","1","0","0","T","0","-0.401","-0.194","0.03"
"Butorides_virescens","-0.135","0","0","1","0","0","0","1","0","0","1","0","0","Stalker and striker","1","0","0","0","Solitary","1","1","1","PR","0","-0.498","-0.876","-0.188"
"Calamospiza_melanocorys","-0.44","0","0","1","0","0","0","0","1","0","0","0","0","Ground gleaner","1","0","0","0","Aggregation","1","0","0","WV","0","-0.477","-0.609","-0.228"
