Species,Body_mass_g,Scavenger,Vertebrates,Insects,Worms,Crustaceans,Molluscs,Fish,Seeds,Fruits,Plants,Nectar,Sap,Foraging_technique,Foraging_stratum_terr/aquatic,Foraging_stratum_betw_1_and_2,Foraging_stratum_above_2m,Foraging_stratum_air,Social_Foraging,Diurnal,Crepuscular,Nocturnal,Seasonality,Irruptive,Duration,Mean_frequency,Entropy
Accipiter_cooperii,529,0,1,0,0,0,0,0,0,0,0,0,0,Air hawker,0,0,1,0,Solitary,1,0,0,WV,0,0.2565859,2.555068,0.7482017
Accipiter_striatus,174,0,1,1,0,0,0,0,0,0,0,0,0,Air hawker,0,0,1,0,Solitary,1,0,0,WV,0,2.455365,3.813821,0.7297224
Actitis_macularius,40.4,0,0,1,1,1,1,1,0,0,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,WV,0,0.260126568,3.234920495,0.669725443
Aechmophorus_occidentalis,1199,0,0,1,0,0,0,1,0,0,0,0,0,Surface diver,1,0,0,0,Solitary,1,0,0,WV,0,0.168779854,4.314237073,0.811158053
Aeronautes_saxatalis,32.1,0,0,1,0,0,0,0,0,0,0,0,0,Air screener,0,0,0,1,Aggregation,1,0,0,SR,0,5.21211706,5.104362711,0.840925831
Agelaius_phoeniceus,39.5,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,PR,0,1.084805842,3.499809108,0.733731952
Aimophila_ruficeps,18.1,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Pair,1,0,0,PR,0,1.04443094,5.458472994,0.818246206
Aix_sponsa,635,0,0,1,0,0,0,0,1,0,0,0,0,Dabbler,1,0,0,0,Aggregation,1,0,0,WV,0,0.296555514,3.114832215,0.796935
Ammodramus_savannarum,17,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,T,0,1.473375,7.69802,0.7773039
Amphispiza_bilineata,13.5,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Pair,1,0,0,PR,0,1.062268921,5.974583028,0.755590141
Anas_acuta,887,0,0,1,0,1,1,0,1,0,1,0,0,Dabbler,1,0,0,0,Aggregation,1,0,1,WV,0,0.4466474,2.348147717,0.727883293
Mereca_americana,719,0,0,0,0,0,0,0,1,0,1,0,0,Dabbler,1,0,0,0,Aggregation,1,0,1,WV,0,0.2894378,2.222011,0.7533876
Spatula_clypeata,590,0,0,1,0,1,1,0,1,0,1,0,0,Surface dipper,1,0,0,0,Aggregation,1,0,1,WV,0,0.06364999,2.506802,0.7659258
Anas_crecca,318,0,0,1,0,1,1,0,1,0,1,0,0,Dabbler,1,0,0,0,Aggregation,0,0,1,WV,0,0.1797839,2.554196,0.7027495
Spatula_cyanoptera,372,0,0,1,0,1,1,0,1,0,1,0,0,Surface dipper,1,0,0,0,Pair,1,0,1,PR,0,0.1521987,2.920125,0.7549166
Spatula_discors,340,0,0,1,0,1,1,0,1,0,1,0,0,Surface dipper,1,0,0,0,Aggregation,1,0,1,T,0,0.074131821,2.910775153,0.808936679
Anas_platyrhynchos,1095,0,0,1,1,1,1,0,1,0,1,0,0,Dabbler,1,0,0,0,Aggregation,1,0,1,PR,0,0.1782104,2.551111,0.7398131
Mereca_strepera,866,0,0,0,0,0,0,0,1,0,1,0,0,Dabbler,1,0,0,0,Aggregation,1,0,1,WV,0,0.2736662,2.914286,0.767802
Anthus_rubescens,20.1,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,1,WV,0,1.118419,5.863482,0.7749316
Archilochus_alexandri,3.6,0,0,1,0,0,0,0,0,0,0,1,0,Hover and gleaner,0,1,0,0,Solitary,1,0,0,SR,0,0.3001282,3.609568,0.7089788
Ardea_alba,812,0,0,1,0,1,0,1,0,0,0,0,0,Stalker and striker,1,0,0,0,Solitary,1,0,0,PR,0,0.553993661,1.848043625,0.754292101
Ardea_herodias,2110,0,0,1,0,1,0,1,0,0,0,0,0,Stalker and striker,1,0,0,0,Solitary,1,0,1,PR,0,0.257167025,2.276685623,0.755774569
Artemisiospiza_nevadensis,17.7,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.5260491,5.859656,0.6143675
Asio_flammeus,378,0,1,1,0,0,0,0,0,0,0,0,0,Ground hawker,1,0,0,0,Solitary,0,1,0,T,0,0.24575809,2.775511414,0.767662994
Asio_otus,337,0,1,0,0,0,0,0,0,0,0,0,0,Ground hawker,1,0,0,0,Pair,0,0,1,WV,0,0.5380429,0.5940828,0.4577288
Athene_cunicularia,156,0,1,1,0,0,0,0,0,0,0,0,0,Air hawker,1,0,0,0,Solitary,0,1,0,PR,0,0.18399363,5.312317976,0.809615668
Auriparus_flaviceps,6.8,0,0,1,0,0,0,0,0,1,0,0,0,Foliage gleaner,0,1,0,0,Pair,1,0,0,PR,0,0.746015136,3.82162608,0.76883128
Aythya_affinis,790,0,0,1,0,1,1,0,1,0,1,0,0,Surface diver,1,0,0,0,Aggregation,1,0,1,WV,0,0.1150393,1.792799,0.7483481
Aythya_americana,1035,0,0,1,0,1,1,0,1,0,1,0,0,Surface diver,1,0,0,0,Aggregation,1,0,1,WV,0,0.2595995,1.680332,0.7159611
Aythya_collaris,680,0,0,1,0,1,1,0,1,0,1,0,0,Surface diver,1,0,0,0,Aggregation,1,0,0,WV,0,0.14829011,1.548807939,0.700302485
Aythya_valisineria,1154,0,0,1,0,0,1,0,1,0,1,0,0,Surface diver,1,0,0,0,Aggregation,1,0,0,WV,0,0.2273445,2.138555,0.7592362
Bartramia_longicauda,164,0,0,1,1,0,0,0,0,0,1,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,T,0,2.79204,2.887025,0.8024934
Bombycilla_cedrorum,32.6,0,0,1,0,0,0,0,0,1,0,0,0,Foliage gleaner,0,0,1,0,Bonded,1,0,0,WV,1,0.333571,5.66645,0.6783901
Branta_canadensis,2854,0,0,0,0,0,0,0,1,1,1,0,0,Surface dipper,1,0,0,0,Aggregation,1,0,0,WV,0,0.264990273,1.608687542,0.677367155
Branta_hutchinsii,1920,0,0,0,0,0,0,0,1,1,1,0,0,Surface dipper,1,0,0,0,Solitary,1,0,0,WV,0,0.1650312,2.296279,0.7233327
